Value,Count
0000028405,2
0000024077,2
0000011729,2
0000057522,2
0000000320,2
11-3019327,2
0000001845,2
0000717528,2
0000018430,2
0000546544,2
27-1839540,2
0000016980,2
0000056557,2
0000060583,2
0000025103,2
0000702518,2
0000012761,2
0000646453,2
0000009292,2
0000057816,2
0000067389,2
0000517357,2
0000029012,2
0000066349,2
0000018569,2
36-3679626,2
0000034325,2
0000007992,2
0000013242,2
0000008333,2
36-6071399,2
0000018761,2
0000064049,2
0000714544,2
0000008892,2
0000024708,2
0000751656,2
0003599970,2
0000001467,2
0000022134,2
0000125471,2
0000033845,2
0000542528,2
0000024692,2
0000003654,2
0000004915,2
0000020258,2
0000667757,2
0000068095,2
0000015435,2
0000068362,2
0000001427,1
0000057511,1
0000009976,1
0000024297,1
0000015429,1
0000011124,1
0000022637,1
0000028068,1
0000000028,1
0000015657,1
0000020184,1
0000018355,1
16-1686740,1
0000000150,1
0000016858,1
0000001733,1
0000009123,1
0000061790,1
0000057892,1
0000060686,1
0000057072,1
0000023623,1
0000266271,1
0000682563,1
0000058243,1
0000033508,1
0000506249,1
0000000079,1
20-4273610,1
0000463650,1
0000005380,1
0000003256,1
0000009095,1
0000107244,1
0000009146,1
48-1024691,1
0000016752,1
0000019629,1
0000016243,1
0000022081,1
84-1599785,1
0000761806,1
0000026647,1
0000015108,1
0000066841,1
0000068304,1
01-0831459,1
0000009632,1
0000017614,1
0000020161,1
0000878898,1
0000003025,1
0000012285,1
0000024369,1
0000034726,1
0000704559,1
0000058244,1
0000057411,1
0000023621,1
80-0832417,1
0000005400,1
0000013583,1
0000058458,1
0000002068,1
03-0486044,1
0000001390,1
0000020061,1
0003437166,1
0000003656,1
0003536407,1
0000000082,1
27-3095238,1
0000020042,1
0000021686,1
0000009988,1
0000026967,1
0000068530,1
0000021573,1
94-3304740,1
0000066642,1
0000024557,1
0000010223,1
0000024131,1
0000008141,1
0000001040,1
20-5799048,1
0000009037,1
0000010045,1
0000001622,1
0000463735,1
0000034363,1
0364226027,1
0000061918,1
0219309999,1
0000080071,1
0000106359,1
0000068239,1
0000011578,1
0000009079,1
0000024524,1
0000208244,1
0000004975,1
0000060978,1
0000019608,1
0000064084,1
0000057993,1
0000024114,1
0000013682,1
0000011520,1
0000008200,1
0000853952,1
0000019506,1
0000708043,1
0000061716,1
0000017926,1
0004210227,1
57-0761331,1
0000066331,1
0000018238,1
0000000861,1
0000011905,1
0000020156,1
0000012331,1
0000024694,1
0000016626,1
47-3490361,1
88-0500878,1
0000706432,1
0000068665,1
0000002221,1
0000068061,1
0000019850,1
0000015379,1
0000035441,1
0000016643,1
0000008531,1
0000035123,1
0000058648,1
65-0882429,1
0000001644,1
0000365325,1
0000017884,1
0000705852,1
0003029589,1
0000062659,1
0000718037,1
0000717954,1
0000061185,1
0000062903,1
0000022327,1
0003664588,1
0000653648,1
0000000953,1
0000010248,1
0000006053,1
0000016400,1
0000010600,1
0000010159,1
0000007063,1
0000017127,1
0000023041,1
0000025158,1
0000516855,1
0000017017,1
04-2992161,1
0000499453,1
0000763556,1
0000027119,1
0000456157,1
0000001199,1
0000035480,1
0000027476,1
0000057971,1
0000057488,1
0000001678,1
0000704347,1
0000000047,1
14-1667104,1
