Value,Count
2527.05,471.0
142.0,471.0
626.39,470.0
9005.01,469.0
114.0,469.0
31.15,468.0
3551.11,467.0
114.04,467.0
444.02,466.0
320.44,466.0
3553.01,465.0
15.03,465.0
9103.02,463.0
406.11,463.0
4506.02,463.0
13.04,462.0
32.13,462.0
6034.0,462.0
1106.04,462.0
3452.03,462.0
99.06,461.0
80.05,460.0
481.0,460.0
29.03,460.0
3451.12,459.0
1.13,459.0
9104.01,458.0
4371.01,458.0
5123.14,458.0
308.08,456.0
134.18,456.0
4441.0,455.0
435.08,455.0
5029.02,455.0
4372.0,454.0
82.06,454.0
99.11,454.0
9200.3,454.0
3211.02,453.0
96.16,453.0
4507.01,453.0
5433.04,453.0
2529.11,452.0
420.03,452.0
9200.2,452.0
207.1,451.0
2501.05,451.0
4364.01,451.0
410.0,451.0
20.11,451.0
439.0,451.0
320.46,450.0
432.72,450.0
42.12,450.0
52.05,450.0
36.02,450.0
432.29,449.0
11.03,449.0
134.14,449.0
9201.08,448.0
83.35,448.0
169.01,448.0
4065.0,447.0
107.02,447.0
451.21,447.0
74.33,446.0
207.06,446.0
427.17,445.0
307.01,445.0
309.0,444.0
55.04,444.0
1352.03,444.0
9201.16,444.0
5001.0,443.0
191.01,443.0
4009.0,443.0
96.14,443.0
5016.0,443.0
4033.16,443.0
100.11,443.0
81.27,442.0
432.11,442.0
54.05,441.0
178.01,441.0
57.01,441.0
1.06,440.0
105.05,440.0
432.79,439.0
9107.06,439.0
491.0,439.0
91.19,439.0
525.25,439.0
103.1,438.0
9200.45,438.0
81.19,438.0
451.1,437.0
5027.02,437.0
20.08,437.0
6119.0,437.0
38.1,437.0
96.1,436.0
3080.02,436.0
219.23,435.0
1064.06,435.0
1397.02,435.0
36.12,435.0
77.0,435.0
423.15,435.0
59.05,435.0
93.31,435.0
133.09,435.0
36.03,435.0
5125.1,434.0
427.24,434.0
96.22,434.0
51.1,434.0
127.02,434.0
422.06,433.0
3110.0,433.0
3340.04,433.0
103.12,433.0
418.03,433.0
8003.24,432.0
1.15,432.0
307.09,432.0
1209.0,432.0
464.04,432.0
762.01,431.0
67.02,431.0
6001.0,431.0
70.14,430.0
308.03,430.0
81.25,430.0
201.06,430.0
52.0,429.0
100.09,429.0
9.09,429.0
5003.0,429.0
34.04,429.0
55.17,429.0
5012.0,429.0
207.17,428.0
3462.01,428.0
6039.0,428.0
424.1,427.0
3551.13,427.0
83.29,426.0
3211.01,426.0
141.02,425.0
5125.08,425.0
3400.02,425.0
59.06,424.0
124.01,424.0
166.12,424.0
130.0,424.0
496.0,424.0
170.19,423.0
9107.11,423.0
1371.03,423.0
42.08,423.0
76.14,422.0
4505.02,422.0
3040.04,422.0
73.01,421.0
3270.0,421.0
74.32,421.0
308.04,421.0
71.07,420.0
867.01,420.0
5024.0,420.0
2529.1,420.0
2521.04,420.0
26.04,420.0
20.35,419.0
5040.02,419.0
75.12,419.0
9200.15,419.0
4066.01,419.0
4017.0,419.0
9107.15,418.0
9108.07,418.0
201.05,418.0
93.08,417.0
55.06,417.0
96.19,416.0
4045.02,416.0
9106.03,416.0
192.07,415.0
432.22,415.0
424.12,415.0
9107.16,414.0
97.04,414.0
452.24,414.0
438.21,414.0
96.01,414.0
51.27,413.0
31.08,413.0
100.25,413.0
320.61,412.0
408.13,412.0
446.05,412.0
9102.08,412.0
432.67,412.0
74.27,412.0
22.04,411.0
83.03,411.0
96.12,411.0
5412.0,411.0
3332.0,410.0
176.01,410.0
4381.0,410.0
4077.0,409.0
97.1,409.0
3451.14,409.0
402.01,409.0
3300.0,408.0
432.46,408.0
97.06,408.0
5736.01,408.0
5.09,407.0
53.04,407.0
2529.12,407.0
186.09,407.0
1542.02,407.0
1150.0,406.0
756.06,406.0
5087.03,406.0
170.39,406.0
432.06,406.0
168.09,405.0
81.01,405.0
4513.0,405.0
1532.0,405.0
4504.0,405.0
53.0,405.0
85.05,405.0
4008.0,404.0
1205.0,404.0
31.07,404.0
427.43,404.0
8003.32,404.0
6137.0,404.0
51.34,404.0
4015.0,404.0
4302.0,404.0
178.11,403.0
59.07,403.0
3372.0,403.0
15.05,403.0
75.01,402.0
201.07,402.0
1514.01,402.0
168.04,402.0
4417.0,401.0
93.11,401.0
432.54,400.0
162.01,400.0
64.02,400.0
5120.29,400.0
406.04,400.0
422.05,399.0
449.17,399.0
1513.09,399.0
409.01,399.0
97.16,399.0
78.0,399.0
320.42,398.0
4046.0,398.0
5501.0,398.0
220.11,397.0
2380.0,397.0
20.13,396.0
404.05,396.0
101.03,396.0
77.01,396.0
756.04,395.0
1031.0,395.0
427.08,395.0
104.15,395.0
136.05,395.0
2014.01,395.0
8003.29,394.0
4058.0,394.0
3040.03,394.0
320.5,394.0
1281.0,394.0
1216.0,394.0
6208.0,393.0
756.05,392.0
5745.0,392.0
4087.0,392.0
2519.03,392.0
6.04,391.0
418.08,391.0
93.28,391.0
200.23,391.0
421.12,391.0
5125.05,391.0
445.18,391.0
5760.01,391.0
171.06,390.0
3451.05,390.0
432.62,390.0
1208.0,390.0
422.12,389.0
9006.05,389.0
91.03,389.0
9203.3,388.0
70.0,388.0
754.03,388.0
20.09,388.0
28.2,388.0
210.44,388.0
424.02,388.0
204.01,388.0
166.07,387.0
5710.0,387.0
225.0,386.0
30.03,386.0
2532.06,386.0
320.38,385.0
208.09,385.0
2523.05,385.0
1011.0,385.0
20.17,384.0
20.27,384.0
9100.02,384.0
419.12,383.0
85.03,383.0
9010.1,383.0
4056.0,383.0
